ShipmentID,ShipmentDateTime,CustomerID,CustomerName,CustomerProfitabilityScore,CustomerPriorityLevel,OriginLocation,DestinationLocation,ShipmentWeight_kg,ShipmentDimensions_cm,ShipmentValue_USD,ShipmentType,ServiceLevel,BoardingPriority,DangerousGoodsIndicator,TemperatureControlRequirements,RequiredDeliveryDateTime,TransportationMode,RevenuePerShipment_USD,CostPerShipment_USD,YieldPerShipment_USD,ProfitMargin_Percent,FuelCosts_USD,CarbonEmissions_kgCO2,RouteTransitTime_hours,DelayProbability_Percent,RouteCost_USD,LoadFactor_Percent,AvailableCapacity_kg,MinimumLoadFactor_Percent
SHP0001,2023-10-01 08:30,CU001,Acme Corp,85,Platinum,New York,London,150,"100x50x50",5000,Package,IP,1,No,None,2023-10-04 17:00,Purple Tail,1200,800,400,33.3,200,300,72,5,600,40,100000,60
SHP0002,2023-10-01 09:15,CU002,Globex Inc,70,Gold,Los Angeles,Sydney,200,"120x60x70",8000,Freight,IE,3,Yes,None,2023-10-08 17:00,Commercial Airlines,1500,1000,500,33.3,300,500,96,10,900,50,120000,60
SHP0003,2023-10-01 10:00,CU003,Initech,65,Silver,Tokyo,San Francisco,50,"80x40x30",2000,Package,IP,2,No,Refrigerated,2023-10-04 17:00,Purple Tail,900,600,300,33.3,150,200,48,7,500,45,100000,60
SHP0004,2023-10-01 11:30,CU004,Umbrella Corp,90,Platinum,Berlin,Hong Kong,300,"150x80x90",10000,Freight,IE,4,Yes,None,2023-10-09 17:00,TNT Network,1800,1200,600,33.3,400,600,96,8,1100,55,80000,60
SHP0005,2023-10-01 12:00,CU005,Wayne Enterprises,75,Gold,Paris,Dubai,100,"90x50x40",4000,Package,IP,1,No,None,2023-10-04 17:00,Purple Tail,1100,700,400,36.4,220,350,72,6,700,42,100000,60
SHP0006,2023-10-01 13:00,CU006,Stark Industries,95,Platinum,Chicago,Tokyo,250,"130x70x80",9000,Freight,IP,2,No,None,2023-10-05 17:00,Commercial Airlines,1700,1100,600,35.3,350,550,48,5,950,48,120000,60
SHP0007,2023-10-01 14:30,CU007,Foo Bar LLC,60,Silver,Sydney,New York,80,"100x50x60",3000,Package,IE,3,No,Refrigerated,2023-10-08 17:00,TNT Network,1000,700,300,30.0,180,400,96,9,800,50,80000,60
SHP0008,2023-10-01 15:45,CU008,Black Mesa,80,Gold,London,Berlin,60,"90x40x50",2500,Package,IP,1,No,None,2023-10-04 17:00,Purple Tail,950,600,350,36.8,160,250,72,7,650,43,100000,60
SHP0009,2023-10-01 16:20,CU009,Weyland Corp,85,Platinum,Dubai,Los Angeles,180,"140x60x70",7000,Freight,IE,2,Yes,None,2023-10-07 17:00,Commercial Airlines,1600,1100,500,31.3,320,480,96,8,900,52,120000,60
SHP0010,2023-10-01 17:00,CU010,Tyrell Corp,65,Silver,Hong Kong,Paris,90,"110x50x60",3500,Package,IP,2,No,None,2023-10-04 17:00,Purple Tail,1050,700,350,33.3,200,300,72,6,750,46,100000,60
